epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,158.353,0.9105,0.46193,0.87174,0.99892,1,0.995,0.54701,1.65579,0.58914,1.10838,0.0008219,0.0008219,0.0008219
121,159.657,0.93341,0.47267,0.86924,0.9989,1,0.995,0.57987,1.53035,0.54442,1.06575,0.000812,0.000812,0.000812
122,160.976,0.92196,0.47226,0.8766,0.99893,1,0.995,0.57716,1.60188,0.58798,1.07902,0.0008021,0.0008021,0.0008021
123,162.298,0.93229,0.46819,0.86919,0.99889,1,0.995,0.58232,1.50647,0.53368,1.06883,0.0007922,0.0007922,0.0007922
124,163.616,0.98736,0.49562,0.87954,0.99887,1,0.995,0.54853,1.6048,0.56963,1.09559,0.0007823,0.0007823,0.0007823
125,164.922,0.8935,0.47187,0.85973,0.99886,1,0.995,0.60585,1.47442,0.53342,1.07221,0.0007724,0.0007724,0.0007724
126,166.24,0.91341,0.45136,0.88123,0.99882,1,0.995,0.56956,1.57069,0.55491,1.10975,0.0007625,0.0007625,0.0007625
127,167.574,0.91954,0.47319,0.88239,0.99889,1,0.995,0.59596,1.4987,0.54822,1.06237,0.0007526,0.0007526,0.0007526
128,168.887,0.88777,0.45025,0.87225,0.99894,1,0.995,0.58025,1.56433,0.56328,1.10431,0.0007427,0.0007427,0.0007427
129,170.198,0.90342,0.46437,0.86713,0.99862,1,0.995,0.60353,1.49441,0.55146,1.06751,0.0007328,0.0007328,0.0007328
130,171.519,0.89316,0.46184,0.8643,0.9989,1,0.995,0.56691,1.5716,0.55875,1.09686,0.0007229,0.0007229,0.0007229
131,172.909,0.84877,0.43983,0.86473,0.99889,1,0.995,0.59029,1.50691,0.5469,1.06707,0.000713,0.000713,0.000713
132,174.22,0.87336,0.45796,0.86442,0.9989,1,0.995,0.57596,1.56014,0.52645,1.08987,0.0007031,0.0007031,0.0007031
133,175.523,0.87789,0.44636,0.86363,0.99891,1,0.995,0.57239,1.54216,0.54925,1.08682,0.0006932,0.0006932,0.0006932
134,176.836,0.88808,0.46957,0.87051,0.99885,1,0.995,0.5696,1.5644,0.55599,1.08854,0.0006833,0.0006833,0.0006833
135,178.148,0.89356,0.45863,0.85332,0.99896,1,0.995,0.59577,1.55423,0.55693,1.10824,0.0006734,0.0006734,0.0006734
136,179.457,0.89914,0.45554,0.85898,0.99894,1,0.995,0.5556,1.64965,0.58495,1.12002,0.0006635,0.0006635,0.0006635
137,180.769,0.9209,0.46534,0.87662,0.98226,0.98333,0.98694,0.54217,1.59071,0.57124,1.07814,0.0006536,0.0006536,0.0006536
138,182.079,0.89462,0.45645,0.86571,0.98228,0.98333,0.98706,0.53275,1.66491,0.59511,1.12852,0.0006437,0.0006437,0.0006437
139,183.399,0.90153,0.46037,0.87672,0.9988,1,0.995,0.56162,1.60428,0.54283,1.10406,0.0006338,0.0006338,0.0006338
140,184.711,0.88324,0.47307,0.873,0.9989,1,0.995,0.57703,1.50897,0.57521,1.05285,0.0006239,0.0006239,0.0006239
141,186.018,0.86517,0.43808,0.86171,0.99882,1,0.995,0.5691,1.55465,0.54388,1.07438,0.000614,0.000614,0.000614
142,187.332,0.85728,0.43557,0.86764,0.99889,1,0.995,0.58103,1.51733,0.53517,1.06963,0.0006041,0.0006041,0.0006041
143,188.645,0.84976,0.43042,0.86111,0.99895,1,0.995,0.55728,1.57968,0.56185,1.10272,0.0005942,0.0005942,0.0005942
144,189.971,0.87582,0.44657,0.85997,0.99887,1,0.995,0.58589,1.51534,0.54381,1.08112,0.0005843,0.0005843,0.0005843
145,191.275,0.85978,0.44115,0.84998,0.99887,1,0.995,0.53322,1.59706,0.56149,1.10509,0.0005744,0.0005744,0.0005744
146,192.591,0.8073,0.43085,0.85102,0.99891,1,0.995,0.57841,1.53916,0.5618,1.07965,0.0005645,0.0005645,0.0005645
147,193.907,0.87018,0.43198,0.86249,0.99888,1,0.995,0.58442,1.56918,0.54005,1.1042,0.0005546,0.0005546,0.0005546
148,195.224,0.83098,0.42202,0.86471,1,1,0.995,0.59333,1.55612,0.5497,1.0871,0.0005447,0.0005447,0.0005447
149,196.536,0.8415,0.42329,0.85523,1,1,0.995,0.59119,1.57209,0.55022,1.08649,0.0005348,0.0005348,0.0005348
150,197.855,0.82481,0.4356,0.86195,0.99893,1,0.995,0.58602,1.57454,0.56079,1.10364,0.0005249,0.0005249,0.0005249
151,199.182,0.86442,0.45149,0.84438,0.99895,1,0.995,0.60266,1.55537,0.55877,1.09366,0.000515,0.000515,0.000515
152,200.5,0.81777,0.42066,0.86452,0.99892,1,0.995,0.58184,1.52247,0.54429,1.08691,0.0005051,0.0005051,0.0005051
153,201.814,0.81382,0.42407,0.85151,0.99892,1,0.995,0.56098,1.59238,0.54833,1.10635,0.0004952,0.0004952,0.0004952
154,203.129,0.83362,0.43083,0.85121,0.99894,1,0.995,0.55187,1.55472,0.55944,1.09439,0.0004853,0.0004853,0.0004853
155,204.446,0.81551,0.42831,0.84976,0.99894,1,0.995,0.56319,1.56041,0.53289,1.09471,0.0004754,0.0004754,0.0004754
156,205.785,0.86593,0.44403,0.86428,0.99889,1,0.995,0.54932,1.55774,0.52713,1.08557,0.0004655,0.0004655,0.0004655
157,207.102,0.79953,0.41441,0.85562,0.99892,1,0.995,0.56555,1.55557,0.52679,1.08604,0.0004556,0.0004556,0.0004556
158,208.415,0.79742,0.40765,0.86764,0.99896,1,0.995,0.58995,1.54029,0.53284,1.08882,0.0004457,0.0004457,0.0004457
159,209.736,0.82221,0.42756,0.8483,0.9989,1,0.995,0.57416,1.57206,0.53742,1.09214,0.0004358,0.0004358,0.0004358
160,211.059,0.81552,0.42091,0.85953,0.99897,1,0.995,0.58453,1.56233,0.53761,1.088,0.0004259,0.0004259,0.0004259
161,212.371,0.82076,0.41941,0.85825,0.99894,1,0.995,0.58038,1.5715,0.54231,1.09106,0.000416,0.000416,0.000416
162,213.69,0.79273,0.41426,0.85675,0.99892,1,0.995,0.57897,1.5816,0.54017,1.09219,0.0004061,0.0004061,0.0004061
163,215.004,0.76009,0.39933,0.84416,0.99894,1,0.995,0.5874,1.5801,0.5345,1.09168,0.0003962,0.0003962,0.0003962
164,216.328,0.75903,0.39815,0.84537,0.99894,1,0.995,0.59262,1.5935,0.53412,1.10046,0.0003863,0.0003863,0.0003863
165,217.64,0.80985,0.41461,0.85376,0.99894,1,0.995,0.59508,1.55031,0.52708,1.08219,0.0003764,0.0003764,0.0003764
166,218.964,0.77709,0.41248,0.84351,0.99896,1,0.995,0.56487,1.58826,0.55124,1.08361,0.0003665,0.0003665,0.0003665
167,220.28,0.80105,0.40518,0.85227,0.99896,1,0.995,0.59571,1.50441,0.52657,1.05942,0.0003566,0.0003566,0.0003566
