epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,113.941,0.38037,0.27865,0.8604,0.99944,1,0.995,0.96361,0.28718,0.24423,0.8286,0.0012377,0.0012377,0.0012377
79,115.387,0.35379,0.26246,0.84044,1,0.99866,0.995,0.95476,0.30659,0.27245,0.83243,0.0012278,0.0012278,0.0012278
80,116.837,0.40652,0.28739,0.87367,0.99909,1,0.995,0.95203,0.28535,0.22211,0.83072,0.0012179,0.0012179,0.0012179
81,118.282,0.34847,0.26182,0.84397,0.99906,1,0.995,0.95512,0.29877,0.21575,0.83199,0.001208,0.001208,0.001208
82,119.733,0.37231,0.2611,0.86374,0.99911,1,0.995,0.95062,0.32853,0.22242,0.83733,0.0011981,0.0011981,0.0011981
83,121.177,0.35024,0.25584,0.85412,0.99916,1,0.995,0.95253,0.32186,0.24492,0.83932,0.0011882,0.0011882,0.0011882
84,122.623,0.34917,0.26238,0.85231,0.99908,1,0.995,0.94851,0.3232,0.22342,0.83177,0.0011783,0.0011783,0.0011783
85,124.064,0.40732,0.26954,0.87657,0.99856,1,0.995,0.93853,0.3273,0.2368,0.83476,0.0011684,0.0011684,0.0011684
86,125.518,0.3497,0.25834,0.84419,0.99583,1,0.995,0.97503,0.32897,0.25648,0.82814,0.0011585,0.0011585,0.0011585
87,126.965,0.3292,0.23916,0.82789,0.99888,1,0.995,0.96961,0.3221,0.24665,0.83281,0.0011486,0.0011486,0.0011486
88,128.417,0.38076,0.26525,0.86066,0.99875,1,0.995,0.96607,0.30779,0.22252,0.83634,0.0011387,0.0011387,0.0011387
89,129.859,0.34857,0.25231,0.84423,0.99903,1,0.995,0.97037,0.29525,0.20524,0.82894,0.0011288,0.0011288,0.0011288
90,131.306,0.33837,0.24732,0.82421,0.99713,1,0.995,0.95705,0.327,0.24018,0.83459,0.0011189,0.0011189,0.0011189
91,132.743,0.35959,0.25473,0.84161,0.99801,1,0.995,0.95638,0.33468,0.23011,0.83737,0.001109,0.001109,0.001109
92,134.191,0.33305,0.23767,0.842,0.99868,1,0.995,0.95474,0.3102,0.23168,0.83223,0.0010991,0.0010991,0.0010991
93,135.629,0.36183,0.25363,0.85011,0.99854,1,0.995,0.94728,0.3384,0.23725,0.8437,0.0010892,0.0010892,0.0010892
94,137.072,0.35667,0.25813,0.85244,0.98215,1,0.99485,0.94901,0.31507,0.25449,0.83457,0.0010793,0.0010793,0.0010793
