Time,Smoothed_X_Position,Smoothed_X_Speed,Smoothed_X_Control
2.04,-0.8610454641853008,0.6790496007568897,0
2.08,-0.8338834801550252,0.6740614737896083,0
2.12,-0.8069210212034409,0.6689602127974925,0
2.16,-0.7801626126915412,0.6636995035392335,0
2.2,-0.7536146325499719,0.6582508362029033,0
2.24,-0.7272845991018557,0.6526033391738462,0
2.28,-0.7011804655349019,0.6467588477726938,0
2.32,-0.6753101116239941,0.6407222658919992,0
2.36,-0.6496812209883142,0.6344891165502797,0
2.4,-0.624301656326303,0.6280357563306832,0
2.44,-0.5991802260730756,0.6213191023837217,0
2.48,-0.5743274619777268,0.6142884027455275,0
2.52,-0.5497559258679057,0.6069049736273174,0
2.56,-0.525479726922813,0.5991626751132045,0
2.6,-0.5015132199182848,0.5911028892112563,0
2.64,-0.47786910434983454,0.5828201872085061,0
2.68,-0.4545562968614943,0.5744573627797136,0
2.72,-0.43157800235030574,0.5661908079360511,0
2.76,-0.4089303700328637,0.5582089419354771,0
2.8,-0.3866020123554446,0.5506874974014294,0
2.84,-0.36457451245938743,0.5437657412962732,0
2.88,-0.3428238828075365,0.537527269278934,0
2.92,-0.32132279203637915,0.5319889495174257,0
2.96,-0.3000432340556821,0.527101563983108,0
3.0,-0.2789591714963578,0.5227632175782995,0
3.04,-0.2580486427932258,0.5188415773227477,0
3.08,-0.2372949797003159,0.5151976175594313,0
3.12,-0.21668707499793866,0.5117048181188757,0
3.16,-0.19621888227318363,0.508261588429923,0
3.2,-0.1758884187359867,0.5047974926814802,0
3.24,-0.1556965190287275,0.501274952909065,0
3.28,-0.1356455209123649,0.49768814579010806,0
3.32,-0.11573799508076058,0.49405952514538465,0
3.36,-0.09597561407494519,0.49043230692393835,0
3.4,-0.07635832179798765,0.48685665750457363,0
3.44,-0.05688405549780471,0.4833703812970044,0
3.48,-0.037549240245924535,0.47998092267656717,0
3.52,-0.01835000333886185,0.47665946711297097,0
3.56,0.0007163753456569923,0.4733538995930934,0
3.6,0.019650531329380726,0.4700161328337987,0
3.64,0.038451176642732676,0.46662984515880507,0
3.68,0.05711637044908488,0.4632249688226387,0
3.72,0.07564536920199043,0.4598737648017104,0
3.76,0.09404031979405884,0.45667191790951034,0
3.8,0.11230719651043926,0.45371194860051345,0
3.84,0.1304556744544598,0.4510567251386405,0
3.88,0.14849794346000542,0.4487201493680946,0
