Time,Smoothed_Z_Speed,z_control
3.32,-0.06683666184847115,0
3.36,-0.06622376147513709,0
3.4,-0.06768987933992165,0
3.44,-0.06508570344085918,0
3.48,-0.059214067058357966,0
3.52,-0.052883940608405844,0
3.56,-0.04763035893912693,0
3.6,-0.043463746094646316,0
3.64,-0.040112747050202735,0
3.68,-0.03765811394419449,0
3.72,-0.035934449099633836,0
3.76,-0.033783167635800804,0
3.8,-0.02954567299099653,0
3.84,-0.02294511645630215,0
3.88,-0.01678201231401777,0
3.92,-0.01599183985450947,0
3.96,-0.022766137508137274,0
4.0,-0.029956327010935424,20
4.04,-0.0187114933219934,20
4.08,0.03426078462804849,20
4.12,0.1415900117385821,20
4.16,0.2928425076570623,20
4.2,0.4561360100720807,20
4.24,0.5945577279984599,20
4.28,0.6855198092216408,20
4.32,0.7290790574267403,20
4.36,0.7414779968717089,20
4.4,0.7418709298617959,20
4.44,0.742690419159242,20
4.48,0.7477837095050704,20
4.52,0.755639180975759,20
4.56,0.7633812261144457,20
4.6,0.7693063360179053,20
4.64,0.773655625843156,20
4.68,0.7778756275521215,20
4.72,0.7829874759346545,20
4.76,0.78834752434781,20
4.8,0.7921001215341728,20
4.84,0.7933750252582417,20
4.88,0.7944666863482053,20
4.92,0.8002436855704675,20
4.96,0.8132789263698814,20
5.0,0.8270106344730854,0
5.04,0.8231001546593064,0
5.08,0.7783636570718289,0
5.12,0.6794411801974598,0
5.16,0.5350423112868763,0
5.2,0.3750459234340364,0
5.24,0.23547298747852996,0
5.28,0.13997528507546653,0
5.32,0.09086156278717006,0
5.36,0.07401856257947537,0
5.4,0.07125267159416304,0
5.44,0.0701107557757763,0
5.48,0.06621874114589033,0
5.52,0.06015485848911428,0
5.56,0.05364653394175356,0
5.6,0.04787015266838335,0
5.64,0.043475460069913874,0
5.68,0.040747743867092234,0
5.72,0.03920170171485826,0
5.76,0.03724448963450255,0
5.8,0.03293550754996932,0
5.84,0.025939357485521564,0
5.88,0.019206535610388764,0
5.92,0.018052067484647383,0
5.96,0.025361293486597658,0
6.0,0.034894484614683696,-20
6.04,0.028306312063614003,-20
6.08,-0.01848883776632837,-20
6.12,-0.1204279686319587,-20
6.16,-0.2697550155894568,-20
6.2,-0.435777606788873,-20
6.24,-0.5803262083478034,-20
6.28,-0.6780102398818821,-20
6.32,-0.7265234741633653,-20
6.36,-0.7414818679800428,-20
6.4,-0.7427431340440938,-20
6.44,-0.7433795720738046,-20
6.48,-0.7470965273433605,-20
6.52,-0.7521857740970195,-20
6.56,-0.7566356935334584,-20
6.6,-0.7605051811217511,-20
6.64,-0.7650367890537024,-20
6.68,-0.7704042700277358,-20
6.72,-0.7744613510060838,-20
6.76,-0.7736913172501636,-20
6.8,-0.7657654376287404,-20
6.84,-0.7519348050857966,-20
6.88,-0.7374072880354021,-20
6.92,-0.7285111047823534,-20
6.96,-0.7268909845758897,-20
7.0,-0.7238098324429232,0
7.04,-0.7002332171473336,0
7.08,-0.6364085543427073,0
7.12,-0.5266693045671539,0
7.16,-0.3878684520821324,0
7.2,-0.252585393414953,0
7.24,-0.15086014640349477,0
7.28,-0.09443650566261785,0
7.32,-0.07466114304025828,0
7.36,-0.07290098579593451,0
7.4,-0.07335933407614514,0
7.44,-0.06943578574096776,0
7.48,-0.062181276025014,0
7.52,-0.05515984462005352,0
7.56,-0.05053418269941601,0
7.6,-0.04815483059213699,0
7.64,-0.046579149282421906,0
7.68,-0.04436391513156224,0
7.72,-0.04088856845468891,0
7.76,-0.036617915978068294,0
7.8,-0.032726009712583104,0
7.84,-0.030207234030280028,0
7.88,-0.02915601613925345,0
7.92,-0.02892107056212956,0
