time_stamp,ref_moving_speed,ref_x,ref_y,ref_z,drone_x,drone_y,drone_z
0.91,0.1,0.0,0.09200000000000007,1.0,2.2545618953278e-06,0.006211993228829038,1.0108070745070636
0.94,0.1,0.0,0.09500000000000007,1.0,-3.1774690377929017e-05,0.007632404019028427,1.0107726570763615
0.98,0.1,0.0,0.09900000000000007,1.0,7.456282718860785e-05,0.010031188861320595,1.0108692868171245
1.00,0.1,0.0,0.10100000000000008,1.0,0.00031928842188364915,0.01205897323557159,1.010110817447957
1.04,0.1,0.0,0.10500000000000008,1.0,0.0004482898983226393,0.013515080551246617,1.0093478316709272
1.07,0.1,0.0,0.10800000000000008,1.0,0.0009603866339629615,0.016710125266288456,1.0081131750426495
1.11,0.1,0.0,0.11200000000000009,1.0,0.0014492497608789758,0.018072797261976747,1.0077888917203368
1.15,0.1,0.0,0.11600000000000009,1.0,0.002104973789238369,0.020943052570962406,1.007389100835111
1.18,0.1,0.0,0.11900000000000009,1.0,0.00283203514264871,0.02337554826368704,1.0071591776072277
1.21,0.1,0.0,0.1220000000000001,1.0,0.0034813544874737834,0.025487688825014176,1.0071949894473617
1.25,0.1,0.0,0.12600000000000008,1.0,0.0040114940152399395,0.02765297947797829,1.0070788945921152
1.28,0.1,0.0,0.1290000000000001,1.0,0.004532481140153739,0.02959338441980297,1.007172373557687
1.32,0.1,0.0,0.1330000000000001,1.0,0.005336048719124407,0.033005054985342674,1.0071583579434484
1.35,0.1,0.0,0.1360000000000001,1.0,0.005744501240710664,0.03537254996814132,1.007103601553632
1.38,0.1,0.0,0.1390000000000001,1.0,0.006055426131769141,0.03710590964252003,1.0070795832208304
1.42,0.1,0.0,0.1430000000000001,1.0,0.006510544764762877,0.04025326133368068,1.0068689918522826
1.45,0.1,0.0,0.1460000000000001,1.0,0.006922245989706747,0.04283587661215249,1.0068685713274057
1.48,0.1,0.0,0.1490000000000001,1.0,0.007520818501543375,0.045541844956721644,1.0066690828100693
1.52,0.1,0.0,0.1530000000000001,1.0,0.007585645919745824,0.04885405211163496,1.0066906715778419
1.56,0.1,0.0,0.1570000000000001,1.0,0.007839523778767085,0.05167407441799399,1.0065581172214653
1.59,0.1,0.0,0.16000000000000011,1.0,0.008067444633510163,0.054488399780472596,1.0065125951990532
1.62,0.1,0.0,0.16300000000000012,1.0,0.008225515276008124,0.057294064492049546,1.0065219621743828
1.65,0.1,0.0,0.16600000000000012,1.0,0.008351463282173188,0.06025096002114527,1.0065013582742286
1.68,0.1,0.0,0.16900000000000012,1.0,0.00844901481468341,0.06318190670979207,1.0066510130072646
1.71,0.1,0.0,0.17200000000000013,1.0,0.008467266879465975,0.06700766384592705,1.0069739409534961
1.74,0.1,0.0,0.17500000000000013,1.0,0.008432348254724739,0.07027198140026836,1.0071166668032039
1.77,0.1,0.0,0.17800000000000013,1.0,0.008447648749986793,0.07359392401508957,1.0074546049991115
1.80,0.1,0.0,0.18100000000000013,1.0,0.00847019802415776,0.07735899337789831,1.0076634082640603
1.83,0.1,0.0,0.18400000000000014,1.0,0.008106298998961283,0.08080703775143983,1.008007033580494
1.87,0.1,0.0,0.18800000000000014,1.0,0.008139017941042308,0.08475211028475049,1.0081783362308054
1.89,0.1,0.0,0.19000000000000014,1.0,0.0077042673266307865,0.08834766591993115,1.0082949063231101
1.93,0.1,0.0,0.19400000000000014,1.0,0.0075413986384070715,0.09131448948303744,1.008517217923799
1.96,0.1,0.0,0.19700000000000015,1.0,0.007049125921144352,0.09623140962715104,1.0087138733093106
1.99,0.1,0.0,0.20000000000000015,1.0,0.0065799210822833284,0.10023861312905569,1.0089912288490752
2.02,0.1,0.0,0.20300000000000015,1.0,0.006047657993427954,0.10426772770604187,1.0092248217927173
2.05,0.1,0.0,0.20600000000000016,1.0,0.0055582436276856205,0.10840858103872675,1.0093796304014098
2.08,0.1,0.0,0.20900000000000016,1.0,0.0050342790595502476,0.11247394595587668,1.0093696144953146
2.12,0.1,0.0,0.21300000000000016,1.0,0.004857642091541026,0.11667604471764237,1.009436390624232
2.16,0.1,0.0,0.21700000000000016,1.0,0.004596074383027727,0.11959714611036354,1.0096312319944465
2.20,0.1,0.0,0.22100000000000017,1.0,0.004183444381919912,0.12509985912871502,1.0093553690502186
2.24,0.1,0.0,0.22500000000000017,1.0,0.004139098478118923,0.1288291615097933,1.009655336693566
2.28,0.1,0.0,0.22900000000000018,1.0,0.0036814066649101507,0.13385309971053694,1.00930063970918
2.32,0.1,0.0,0.23300000000000018,1.0,0.0038522749342090818,0.13663772910579908,1.0093777251292106
2.35,0.1,0.0,0.23600000000000018,1.0,0.003724014443146528,0.14050326824768267,1.009193780227817
2.38,0.1,0.0,0.23900000000000018,1.0,0.003582465774994474,0.14525016966471405,1.0089536758088564
2.42,0.1,0.0,0.2430000000000002,1.0,0.0037508006358208537,0.14952500955938897,1.0087217186036777
2.45,0.1,0.0,0.2460000000000002,1.0,0.003786330149124242,0.15280632691775164,1.0086890793690702
2.49,0.1,0.0,0.25000000000000017,1.0,0.004022489390385501,0.1559969089087344,1.0087239802522574
2.52,0.1,0.0,0.25300000000000017,1.0,0.004095663252129292,0.15969332402213354,1.0082367305752133
2.55,0.1,0.0,0.25600000000000017,1.0,0.004246267071757754,0.1626273367433132,1.008196264404515
2.58,0.1,0.0,0.2590000000000002,1.0,0.004546315152726132,0.16698951009058405,1.007882392487429
2.62,0.1,0.0,0.2630000000000002,1.0,0.004719263593004627,0.17014302434747353,1.0078082679507174
2.65,0.1,0.0,0.2660000000000002,1.0,0.004846773146725692,0.17320981715149952,1.0077926237104111
2.68,0.1,0.0,0.2690000000000002,1.0,0.005074069368242182,0.17617105944945766,1.0080230245133424
2.71,0.1,0.0,0.2720000000000002,1.0,0.004940025161082931,0.17947422254234002,1.007967054306605
2.74,0.1,0.0,0.2750000000000002,1.0,0.004976464250331475,0.1825150522749014,1.0081952131657521
2.78,0.1,0.0,0.2790000000000002,1.0,0.004857002483176644,0.18587807163049697,1.0082128993550616
2.81,0.1,0.0,0.2820000000000002,1.0,0.004674029006096553,0.18885643990299472,1.0082552938217122
2.84,0.1,0.0,0.2850000000000002,1.0,0.00454624696677203,0.19192201072104642,1.0084411741338928
2.88,0.1,0.0,0.2890000000000002,1.0,0.004248895998293922,0.1949447406676147,1.0085425210650674
2.89,0.1,0.0,0.2900000000000002,1.0,0.0039176037057316515,0.1982560928184347,1.0084184269123688
2.93,0.1,0.0,0.2940000000000002,1.0,0.003343481012382101,0.20302448985303,1.008504588102308
2.96,0.1,0.0,0.2970000000000002,1.0,0.0029822437373116517,0.2051533260635311,1.0088903055891139
2.98,0.1,0.0,0.2990000000000002,1.0,0.00251922830197101,0.2088984923417504,1.0090771569829806
