epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,176.895,0.41425,1.70481,0.36473,0.32938,0.8829,0.99842,1,0.995,0.96746,0.99842,1,0.995,0.87854,0.27641,0.57341,0.1137,0.25354,0.79879,0.00181784,0.00181784,0.00181784
48,180.622,0.40803,1.79685,0.37051,0.32129,0.88224,0.99929,1,0.995,0.97519,0.99929,1,0.995,0.83631,0.26926,0.64384,0.11838,0.23845,0.79161,0.00181388,0.00181388,0.00181388
49,184.388,0.41302,1.78544,0.35756,0.32625,0.88544,0.99908,1,0.995,0.97507,0.99908,1,0.995,0.87706,0.27324,0.57568,0.11545,0.26371,0.79064,0.00180992,0.00180992,0.00180992
50,188.138,0.42109,1.69212,0.36233,0.32679,0.89329,0.99567,0.99438,0.995,0.95887,0.98441,0.98315,0.97772,0.7938,0.3337,0.89305,0.1244,0.33717,0.81034,0.00180596,0.00180596,0.00180596
51,191.882,0.39656,1.52022,0.33554,0.31325,0.86988,0.9989,1,0.995,0.9655,0.9989,1,0.995,0.86218,0.27753,0.54576,0.11262,0.24878,0.79289,0.001802,0.001802,0.001802
52,195.622,0.37241,1.4802,0.33799,0.29805,0.86974,0.99961,1,0.995,0.97659,0.99961,1,0.995,0.89868,0.27,0.48386,0.10416,0.24309,0.79448,0.00179804,0.00179804,0.00179804
53,199.398,0.41156,1.52218,0.34464,0.31356,0.88895,0.99955,1,0.995,0.97981,0.99955,1,0.995,0.90031,0.24646,0.43983,0.10517,0.22997,0.78745,0.00179408,0.00179408,0.00179408
54,203.15,0.40114,1.50756,0.33643,0.30454,0.87467,0.99814,1,0.995,0.97597,0.99814,1,0.995,0.8996,0.26454,0.45168,0.09518,0.24163,0.79259,0.00179012,0.00179012,0.00179012
55,206.885,0.38572,1.50567,0.35,0.3094,0.87655,0.99884,1,0.995,0.97732,0.99884,1,0.995,0.89944,0.25685,0.47081,0.11413,0.2655,0.78898,0.00178616,0.00178616,0.00178616
56,210.608,0.40919,1.54205,0.337,0.30683,0.88457,0.99919,1,0.995,0.97654,0.99919,1,0.995,0.89431,0.27093,0.50564,0.11391,0.23473,0.78901,0.0017822,0.0017822,0.0017822
57,214.355,0.38636,1.58779,0.33545,0.30952,0.87189,0.99934,1,0.995,0.97501,0.99934,1,0.995,0.87937,0.27247,0.52522,0.12295,0.2365,0.78581,0.00177824,0.00177824,0.00177824
58,218.079,0.37455,1.4262,0.346,0.29888,0.85966,0.99967,1,0.995,0.97625,0.99967,1,0.995,0.89845,0.26669,0.49981,0.12383,0.22937,0.78953,0.00177428,0.00177428,0.00177428
59,221.865,0.39662,1.55193,0.34927,0.30593,0.87432,0.99956,1,0.995,0.98095,0.99956,1,0.995,0.88913,0.25354,0.45225,0.11286,0.22538,0.78838,0.00177032,0.00177032,0.00177032
60,225.604,0.378,1.46839,0.33713,0.29813,0.8608,0.99957,1,0.995,0.97029,0.99957,1,0.995,0.89228,0.27211,0.49448,0.10445,0.23255,0.79317,0.00176636,0.00176636,0.00176636
61,229.354,0.39344,1.58512,0.36123,0.30298,0.87895,0.99905,1,0.995,0.97177,0.98782,0.98876,0.98631,0.85162,0.25924,0.59955,0.12688,0.23398,0.79059,0.0017624,0.0017624,0.0017624
62,233.098,0.38798,1.41583,0.32762,0.29428,0.87373,0.99507,1,0.995,0.9763,0.99507,1,0.995,0.86738,0.25514,0.57443,0.10652,0.23731,0.78595,0.00175844,0.00175844,0.00175844
63,236.856,0.39307,1.53506,0.34935,0.3042,0.87195,0.99752,1,0.995,0.96569,0.99752,1,0.995,0.89758,0.27718,0.47502,0.12436,0.25655,0.79218,0.00175448,0.00175448,0.00175448
64,240.587,0.38477,1.5434,0.33668,0.3056,0.87326,0.99828,1,0.995,0.97236,0.99828,1,0.995,0.87523,0.27644,0.53815,0.11072,0.2392,0.79384,0.00175052,0.00175052,0.00175052
65,244.337,0.3999,1.586,0.3353,0.31305,0.88136,0.9995,1,0.995,0.97262,0.9995,1,0.995,0.88863,0.2542,0.46015,0.09829,0.23899,0.78963,0.00174656,0.00174656,0.00174656
